"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2580","Old Style Select Menu","","Thu Apr 23 21:36:07 UTC 2026","passed","Thu Apr 23 21:36:09 UTC 2026","","tests.demoqa.tests.widgets.SelectMenuTest","tests.demoqa.tests.widgets.SelectMenuTest","oldStyleTest"
"","15785","Check multiple remove","","Thu Apr 23 21:35:44 UTC 2026","passed","Thu Apr 23 21:36:00 UTC 2026","","tests.demoqa.tests.widgets.AutoCompleteTest","tests.demoqa.tests.widgets.AutoCompleteTest","multipleTypeRemoveTest"
"Login valid user
Check token","1188","Successful login [1]","","Thu Apr 23 21:35:26 UTC 2026","passed","Thu Apr 23 21:35:27 UTC 2026","","tests.reqres.tests.LoginUserTest","tests.reqres.tests.LoginUserTest","successLoginTest"
"","5509","Check the boundary values [1]","","Thu Apr 23 21:36:17 UTC 2026","skipped","Thu Apr 23 21:36:23 UTC 2026","","tests.demoqa.tests.interactions.ResizableTest","tests.demoqa.tests.interactions.ResizableTest","resizableBoxBoundaryTest"
"Send request with 3 sec delay
Check that response data is valid","11420","Get users with delayed response [1]","","Thu Apr 23 21:35:00 UTC 2026","passed","Thu Apr 23 21:35:11 UTC 2026","","tests.reqres.tests.DelayTest","tests.reqres.tests.DelayTest","getDelayUsers"
"","31782","Resize within acceptable limits [1]","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:34 UTC 2026","","tests.demoqa.tests.interactions.ResizableTest","tests.demoqa.tests.interactions.ResizableTest","resizableBoxPositiveTest"
"","10691","Check 'No' button","","Thu Apr 23 21:35:28 UTC 2026","passed","Thu Apr 23 21:35:38 UTC 2026","","tests.demoqa.tests.elements.RadioButtonTest","tests.demoqa.tests.elements.RadioButtonTest","tapNoTest"
"","15844","Check progress bar filling and control buttons [2]","","Thu Apr 23 21:36:01 UTC 2026","passed","Thu Apr 23 21:36:17 UTC 2026","","tests.demoqa.tests.widgets.ProgressBarTest","tests.demoqa.tests.widgets.ProgressBarTest","progressBarTest"
"","13823","The link redirects to the main page","","Thu Apr 23 21:35:58 UTC 2026","passed","Thu Apr 23 21:36:12 UTC 2026","","tests.demoqa.tests.elements.BrokenLinksTest","tests.demoqa.tests.elements.BrokenLinksTest","validLinkTest"
"","9724","Check revert draggable element [1]","","Thu Apr 23 21:36:14 UTC 2026","passed","Thu Apr 23 21:36:24 UTC 2026","","tests.demoqa.tests.interactions.DroppableTest","tests.demoqa.tests.interactions.DroppableTest","revertDraggableTest"
"","32779","Drag element and check cursor style [1]","","Thu Apr 23 21:35:31 UTC 2026","passed","Thu Apr 23 21:36:04 UTC 2026","","tests.demoqa.tests.interactions.DraggableTest","tests.demoqa.tests.interactions.DraggableTest","cursorStyleTest"
"","36154","Select element in grid","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:39 UTC 2026","","tests.demoqa.tests.interactions.SelectableTest","tests.demoqa.tests.interactions.SelectableTest","gridTest"
"","35507","Open new window (about:blank)","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:39 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.BrowserWindowsTest","tests.demoqa.tests.alertsFrameWindows.BrowserWindowsTest","newWindowMessageButtonTest"
"Create user with new name only
Send
Check that only name is updated","768","Partial update [1]","","Thu Apr 23 21:35:12 UTC 2026","passed","Thu Apr 23 21:35:12 UTC 2026","","tests.reqres.tests.UpdateUserTest","tests.reqres.tests.UpdateUserTest","partialUpdateTest"
"Create new user
Check that response id and created time matches ","1759","Successful create [1]","","Thu Apr 23 21:35:35 UTC 2026","passed","Thu Apr 23 21:35:37 UTC 2026","","tests.reqres.tests.CreateUserTest","tests.reqres.tests.CreateUserTest","successCreateTest"
"","5116","On button click, confirm box will appear. Set dismiss","","Thu Apr 23 21:36:23 UTC 2026","passed","Thu Apr 23 21:36:28 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.AlertsTest","tests.demoqa.tests.alertsFrameWindows.AlertsTest","confirmButtonDismissTest"
"Create new user
Login
Add default book
Delete default book
Check that status code 204
Delete user","3515","Delete single books","","Thu Apr 23 21:35:46 UTC 2026","passed","Thu Apr 23 21:35:49 UTC 2026","","tests.demoqa.tests.bookStoreApplication.DeleteBookTest","tests.demoqa.tests.bookStoreApplication.DeleteBookTest","deleteBookTest"
"","26890","Upload file","","Thu Apr 23 21:35:05 UTC 2026","passed","Thu Apr 23 21:35:32 UTC 2026","","tests.demoqa.tests.elements.UploadAndDownloadTest","tests.demoqa.tests.elements.UploadAndDownloadTest","uploadTest"
"","4378","Check status code 401","","Thu Apr 23 21:36:24 UTC 2026","passed","Thu Apr 23 21:36:29 UTC 2026","","tests.demoqa.tests.elements.LinksTest","tests.demoqa.tests.elements.LinksTest","unauthorizedLinkTest"
"Get resource by id '666'
Check status code 404","1288","Get non-existent resource [1]","","Thu Apr 23 21:35:23 UTC 2026","passed","Thu Apr 23 21:35:25 UTC 2026","","tests.reqres.tests.SingleResourceTest","tests.reqres.tests.SingleResourceTest","getUnrealResourceTest"
"Create new user
Login
Delete books
Check that status code 204
Delete user","5111","Delete all books","","Thu Apr 23 21:35:41 UTC 2026","passed","Thu Apr 23 21:35:47 UTC 2026","","tests.demoqa.tests.bookStoreApplication.DeleteBooksTest","tests.demoqa.tests.bookStoreApplication.DeleteBooksTest","deleteBooksTest"
