"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26867","Image doesn't have a size","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:31 UTC 2026","","tests.demoqa.tests.elements.BrokenLinksTest","tests.demoqa.tests.elements.BrokenLinksTest","brokenImageTest"
"","34845","Check text in tabs","","Thu Apr 23 21:35:02 UTC 2026","passed","Thu Apr 23 21:35:37 UTC 2026","","tests.demoqa.tests.widgets.TabsTest","tests.demoqa.tests.widgets.TabsTest","tabsTest"
"","22365","Button becomes visible after 5 seconds [1]","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:26 UTC 2026","","tests.demoqa.tests.elements.DynamicPropertiesTest","tests.demoqa.tests.elements.DynamicPropertiesTest","visibleAfterButtonTest"
"","13353","Move element in list and check sortable [1]","","Thu Apr 23 21:35:36 UTC 2026","passed","Thu Apr 23 21:35:50 UTC 2026","","tests.demoqa.tests.interactions.SortableTest","tests.demoqa.tests.interactions.SortableTest","listTest"
"Create new user with wrong password
Try register
Check response error message
Delete user","5689","Unsuccessful register","","Thu Apr 23 21:35:05 UTC 2026","passed","Thu Apr 23 21:35:11 UTC 2026","","tests.demoqa.tests.bookStoreApplication.RegisterUserTest","tests.demoqa.tests.bookStoreApplication.RegisterUserTest","unsuccessfulRegisterTest"
"","1512","Filling out the form correctly","","Thu Apr 23 21:37:19 UTC 2026","passed","Thu Apr 23 21:37:20 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","successAddTest"
"","3761","Check redirect to main page","","Thu Apr 23 21:36:32 UTC 2026","passed","Thu Apr 23 21:36:36 UTC 2026","","tests.demoqa.tests.elements.LinksTest","tests.demoqa.tests.elements.LinksTest","homeLinkTest"
"","6659","Check multiple fill","","Thu Apr 23 21:36:00 UTC 2026","passed","Thu Apr 23 21:36:06 UTC 2026","","tests.demoqa.tests.widgets.AutoCompleteTest","tests.demoqa.tests.widgets.AutoCompleteTest","multipleTypeTest"
"Create new user
Login
Set default book
Change book
Check that book is changed
Delete user","10023","Replace book in user's collection","","Thu Apr 23 21:35:36 UTC 2026","passed","Thu Apr 23 21:35:46 UTC 2026","","tests.demoqa.tests.bookStoreApplication.ChangeBookTest","tests.demoqa.tests.bookStoreApplication.ChangeBookTest","changeBookTest"
"","1511","Fill wrong email","","Thu Apr 23 21:37:17 UTC 2026","passed","Thu Apr 23 21:37:19 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","wrongEmailTest"
